bus_name,x_coordinate,y_coordinate
bus_001,626,-324
bus_002,678,-324
bus_003,574,-308
bus_004,522,-212
bus_005,418,-244
bus_006,626,-244
bus_007,678,-260
bus_008,350,-340
bus_009,298,-324
bus_010,246,-324
bus_011,574,-180
bus_012,730,-260
bus_013,678,-164
bus_014,782,-260
bus_015,902,-244
bus_016,782,-324
bus_017,834,-324
bus_018,902,-388
bus_019,986,-364
bus_020,778,-548
bus_021,726,-548
bus_022,674,-548
bus_023,570,-556
bus_024,622,-596
bus_025,258,-540
bus_026,190,-526
bus_027,310,-484
bus_028,362,-452
bus_029,414,-452
bus_030,902,-484
bus_031,466,-436
bus_032,518,-500
bus_033,1198,-388
bus_034,1198,-276
bus_035,1302,-324
bus_036,1250,-324
bus_037,1354,-364
bus_038,1286,-452
bus_039,1406,-324
bus_040,1458,-356
bus_041,1510,-324
bus_042,1562,-356
bus_043,1458,-228
bus_044,1510,-228
bus_045,1562,-212
bus_046,1614,-260
bus_047,1666,-308
bus_048,1666,-228
bus_049,1718,-308
bus_050,1842,-356
bus_051,1790,-284
bus_052,1842,-260
bus_053,1894,-260
bus_054,1946,-212
bus_055,2118,-244
bus_056,1946,-372
bus_057,1894,-356
bus_058,1894,-308
bus_059,2140,-450
bus_060,2066,-516
bus_061,2066,-612
bus_062,1946,-548
bus_063,1998,-692
bus_064,1946,-668
bus_065,1774,-644
bus_066,1842,-564
bus_067,1894,-516
bus_068,1674,-692
bus_069,1606,-636
bus_070,874,-628
bus_071,726,-628
bus_072,674,-628
bus_073,778,-612
bus_074,974,-660
bus_075,1026,-644
bus_076,1388,-794
bus_077,1500,-742
bus_078,1580,-794
bus_079,1580,-846
bus_080,1620,-898
bus_081,1724,-830
bus_082,1420,-1160
bus_083,1388,-1316
bus_084,1372,-1420
bus_085,1326,-1494
bus_086,1274,-1478
bus_087,1222,-1478
bus_088,1426,-1510
bus_089,1478,-1558
bus_090,1578,-1606
bus_091,1630,-1590
bus_092,1604,-1420
bus_093,1564,-1316
bus_094,1556,-1264
bus_095,1564,-1212
bus_096,1540,-1160
bus_097,1548,-950
bus_098,1676,-950
bus_099,1740,-950
bus_100,1724,-1264
bus_101,1644,-1316
bus_102,1644,-1368
bus_103,1812,-1572
bus_104,1828,-1480
bus_105,1900,-1420
bus_106,1834,-1354
bus_107,1998,-1354
bus_108,1948,-1480
bus_109,1948,-1572
bus_110,1916,-1632
bus_111,1884,-1704
bus_112,1948,-1704
bus_113,622,-468
bus_114,414,-516
bus_115,362,-516
bus_116,1842,-708
bus_117,782,-196
bus_118,1356,-742
